항목ID,항목코드,항목코드명,,,
YEAR,2001,2001년,,,
,2002,2002년,,,
,2003,2003년,,,
,2004,2004년,,,
,2005,2005년,,,
,2006,2006년,,,
,2007,2007년,,,
,2008,2008년,,,
,2009,2009년,,,
,2010,2010년,,,
,2011,2011년,,,
,2012,2012년,,,
,2013,2013년,,,
,2014,2014년,,,
,2015,2015년,,,
,2016,2016년,,,
,2017,2017년,,,
,2018,2018년,,,
,2019,2019년,,,
A_001,1,남,,,
,2,여,,,
A_002,1,10대,,,
,2,20대,,,
,3,30대,,,
,4,40대,,,
,5,50대,,,
,6,60대,,,
A_004,1,서울,,,
,2,경기/인천,,,
,3,대전/충청/세종,,,
,4,광주/전라/제주,,,
,5,부산/울산/경남,,,
,6,대구/경북,,,
,7,강원,,,
A_006,1,행정관리/전문직,,,
,2,사무직,,,
,3,판매/서비스직,,,
,4,기능/노무직,,,
,5,전업주부,,,
,6,학생(재수생포함),,,
,7,무직/기타,,,
A_007,1,99만원 이하,,,
,2,100-199만원,,,
,3,200-299만원,,,
,4,300-399만원,,,
,5,400-499만원,,,
,6,500-599만원,,,
,7,600-699만원,,,
,8,700-799만원,,,
,9,800-899만원,,,
,10,900-999만원,,,
,11,1000만원 이상,,,
,99,모름/무응답,,,
A_009,1,99만원 이하,,,
,2,100-199만원,,,
,3,200-299만원,,,
,4,300-399만원,,,
,5,400-499만원,,,
,6,500-599만원,,,
,7,600-699만원,,,
,8,700-799만원,,,
,9,800-899만원,,,
,10,900-999만원,,,
,11,1000만원 이상,,,
,99,모름/무응답,,,
A_011,1,99만원 이하,,,
,2,100-199만원,,,
,3,200-299만원,,,
,4,300-399만원,,,
,5,400-499만원,,,
,6,500-599만원,,,
,7,600-699만원,,,
,8,700-799만원,,,
,9,800-899만원,,,
,10,900-999만원,,,
,11,1000만원 이상,,,
,99,모름/무응답,,,
A_013,1,정규교육 없음,,,
,2,초등학교 졸업,,,
,3,중학교 졸업,,,
,4,고등학교 졸업,,,
,5,전문대학 졸업,,,
,6,대학교 졸업,,,
,7,대학원 졸업,,,
,8,중학교 재학,,,
,9,고등학교 재학,,,
,10,전문대학 재학,,,
,11,대학교 재학,,,
,12,대학원 재학,,,
,99,무응답,,,
A_014,1,있다,,,
,2,없다,,,
,9,무응답,,,
A_016,1,자가,,,
,2,전세,,,
,3,월세,,,
,4,영구임대,,,
,5,사택/기타,,,
,9,무응답,,,
A_017,1,단독주택,,,
,2,아파트,,,
,3,연립/다세대/빌라,,,
,4,상가주택,,,
,5,오피스텔,,,
,6,기타,,,
A_018,1,없다,,,
,2,개신교,,,
,3,불교,,,
,4,천주교,,,
,5,기타,,,
,9,무응답,,,
A_019,1,기혼,,,
,2,미혼,,,
,3,기타(이혼/별거/사별),,,
,9,무응답,,,
A_026,1,없다,,,
,2,있다,,,
,9,무응답,,,
A_027,1,1명,,,
,2,2명,,,
,3,3명 이상,,,
,99,무응답,,,
A_034,1,부부 모두 일함,,,
,2,남편만 일함,,,
,3,아내만 일함,,,
,4,모두 일하지 않음,,,
,9,무응답,,,
B_01_001,1,예,,,
,2,아니오,,,
B_01_003,1,예,,,
,2,아니오,,,
B_01_005,1,예,,,
,2,아니오,,,
B_01_013,1,예,,,
,2,아니오,,,
B_01_015,1,예,,,
,2,아니오,,,
B_01_017,1,예,,,
,2,아니오,,,
B_01_019,1,예,,,
,2,아니오,,,
B_01_021,1,예,,,
,2,아니오,,,
B_01_029,1,"예, 정기적으로 비용을 지불하고 이용 중",,,
,2,"예, 무료이용 기간 동안 이용 중",,,
,3,아니오,,,
B_01_025,1,예,,,
,2,아니오,,,
B_01_026,1,예,,,
,2,아니오,,,
B_04_001#1,1,지상파채널,,,
,2,종합편성채널,,,
,3,케이블채널,,,
,4,VOD,,,
,5,라디오,,,
,6,DMB,,,
,7,PC,,,
,8,모바일기기,,,
,9,신문,,,
,10,잡지,,,
,99,없음,,,
B_04_001#2,1,지상파채널,,,
,2,종합편성채널,,,
,3,케이블채널,,,
